iter	Logloss
0	0.69250468
1	0.6918822866
2	0.6912137147
3	0.6905469144
4	0.6900973686
5	0.689502051
6	0.6889552356
7	0.6883367532
8	0.6877661056
9	0.687049406
10	0.6862568714
11	0.6856495605
12	0.685276998
13	0.6846513576
14	0.6839790928
15	0.6835198791
16	0.6829656356
17	0.68230578
18	0.6819095109
19	0.6812659675
20	0.6807976085
21	0.6802339834
22	0.6796212132
23	0.6791371847
24	0.67858768
25	0.6781510749
26	0.6775462566
27	0.6771025164
28	0.6765627751
29	0.6760915109
30	0.6755537536
31	0.6749847288
32	0.6743874223
33	0.673710154
34	0.6731088785
35	0.6725932895
36	0.6719183711
37	0.6712817065
38	0.6706757721
39	0.6701706262
40	0.6695860619
41	0.6691603918
42	0.6686126941
43	0.6678161529
44	0.6671216846
45	0.6666043218
46	0.6660930138
47	0.6657193115
48	0.66524432
49	0.6646288768
50	0.6640840092
51	0.6635158025
52	0.6629638463
53	0.6622049135
54	0.6616631975
55	0.661054132
56	0.6605464357
57	0.6601734132
58	0.6595961654
59	0.6589350831
60	0.6584357573
61	0.6578842908
62	0.6573468943
63	0.656835838
64	0.6561774355
65	0.6555866016
66	0.655055058
67	0.654681537
68	0.6541836883
69	0.6536359209
70	0.6532111232
71	0.6527512263
72	0.6523365654
73	0.6518495901
74	0.6512749187
75	0.6507006768
76	0.6501459189
77	0.6496250944
78	0.649200334
79	0.6487964475
80	0.6481979308
81	0.6476011208
82	0.6470351128
83	0.6464839356
84	0.6458605996
85	0.645262631
86	0.6448806564
87	0.6443904979
88	0.6437816884
89	0.6432380543
90	0.6426651485
91	0.642231818
92	0.6416768389
93	0.6411204712
94	0.6405825198
95	0.6401084855
96	0.6395136683
97	0.6390459346
98	0.6384791436
99	0.6379370766
100	0.6373622988
101	0.6367212379
102	0.6362685591
103	0.6357233721
104	0.6353333121
105	0.6347749946
106	0.6343082617
107	0.6337673123
108	0.6333044194
109	0.6328043208
110	0.6324173238
111	0.6319266811
112	0.6315026809
113	0.6310494676
114	0.6305431767
115	0.6300175121
116	0.6295299154
117	0.6291618059
118	0.6286287371
119	0.6281071904
120	0.6275879632
121	0.6271182087
122	0.6267856869
123	0.6264272535
124	0.6260116293
125	0.6255137721
126	0.6251206911
127	0.6246968381
128	0.6242437916
129	0.6238300186
130	0.6234230626
131	0.6230200664
132	0.6225432209
133	0.6220777539
134	0.6216136842
135	0.6210644569
136	0.6206502051
137	0.6203206753
138	0.619939663
139	0.6195376599
140	0.6190721309
141	0.6185202457
142	0.6181203874
143	0.6176764399
144	0.6172388885
145	0.6168713673
146	0.616396789
147	0.61610911
148	0.6156644717
149	0.6151908835
150	0.6147780493
151	0.6142937976
152	0.6139167706
153	0.6133513728
154	0.6129932996
155	0.6124940893
156	0.6120550649
157	0.6116376187
158	0.6111912862
159	0.6108139836
160	0.6103990454
161	0.6099687893
162	0.6095613363
163	0.6090367385
164	0.6085706498
165	0.6081352817
166	0.6078212436
167	0.6073782019
168	0.6070192977
169	0.6066619085
170	0.6062629174
171	0.6059529059
172	0.6055706876
173	0.6050930586
174	0.6046919442
175	0.6042661935
176	0.6039238434
177	0.6034320582
178	0.6030571751
179	0.6026254309
180	0.6022257665
181	0.6018580437
182	0.6014032644
183	0.6010185558
184	0.600530846
185	0.600218048
186	0.5998302973
187	0.5994358927
188	0.5991324821
189	0.5986977565
190	0.5983921161
191	0.5980478825
192	0.5975859156
193	0.5971419753
194	0.5967164873
195	0.5962910414
196	0.5959074856
197	0.5954017031
198	0.5950435649
199	0.594644293
200	0.5941078966
201	0.593700576
202	0.5933067459
203	0.5929440707
204	0.5925296144
205	0.5920386106
206	0.5916860087
207	0.5912430766
208	0.590845216
209	0.5905236508
210	0.59021909
211	0.5897765479
212	0.5894236021
213	0.5890460746
214	0.5886038805
215	0.5882005925
216	0.5879039519
217	0.5874812733
218	0.5870464648
219	0.5866560261
220	0.5861559939
221	0.5857744111
222	0.5854065611
223	0.584932969
224	0.5844895317
225	0.5840816356
226	0.583769893
227	0.5833664527
228	0.5830557927
229	0.5826955473
230	0.5824339123
231	0.5820649616
232	0.5817368245
