iter	Passed	Remaining
0	151	151160
1	154	77067
2	155	51804
3	157	39151
4	158	31554
5	160	26568
6	161	22923
7	163	20217
8	164	18102
9	165	16389
10	166	14992
11	168	13870
12	170	12917
13	171	12074
14	173	11373
15	175	10771
16	176	10214
17	183	10022
18	185	9574
19	187	9168
20	189	8815
21	191	8491
22	192	8186
23	194	7899
24	195	7639
25	197	7393
26	198	7158
27	199	6939
28	201	6736
29	202	6554
30	204	6403
31	206	6238
32	207	6086
33	209	5957
34	211	5832
35	212	5692
36	213	5564
37	214	5441
38	216	5328
39	219	5277
40	221	5170
41	222	5079
42	224	4986
43	229	4981
44	235	4987
45	236	4902
46	237	4820
47	239	4757
48	242	4697
49	243	4623
50	244	4551
51	245	4481
52	249	4449
53	250	4383
54	251	4319
55	254	4290
56	258	4273
57	260	4229
58	262	4188
59	263	4131
60	266	4108
61	269	4075
62	271	4040
63	277	4057
64	278	4012
65	281	3981
66	283	3952
67	285	3913
68	287	3875
69	288	3833
70	289	3794
71	291	3755
72	293	3722
73	300	3763
74	307	3790
75	311	3792
76	314	3767
77	316	3738
78	318	3712
79	320	3688
80	322	3656
81	323	3624
82	327	3616
83	330	3600
84	331	3569
85	333	35486	342	3595
87	344	3573
88	348	3567
89	349	3535
90	350	3505
91	352	3483
92	356	3473
93	357	3445
94	358	3416
95	359	3388
96	361	3361
97	362	3335
98	363	3310
99	365	3285
100	366	3261
101	367	3239
102	373	3250
103	379	3273
104	381	3248
105	383	3232
106	386	3221
107	390	3228
108	392	3205
109	393	3182
110	394	3160
111	398	3160
112	401	3149
113	406	3160
114	407	3138
115	409	3119
116	412	3113
117	428	3206
118	430	3187
119	432	3169
120	433	3150
121	434	3128
122	435	3107
123	436	3086
124	438	3070
125	440	3054
126	441	3031
127	448	3057
128	453	3062
129	458	3067
130	460	3051
131	465	3059
132	468	3052
133	469	3033
134	471	3021
135	476	3029
136	479	3018
137	484	3025
138	486	3013
139	487	2995
140	488	2977
141	489	2960
142	494	2962
143	496	2949
144	497	2933
145	500	2926
146	502	2918
147	504	2902
148	506	2893
149	509	2885
150	510	2868
151	511	2852
152	512	2836
153	513	2820
154	522	2845
155	526	2846
156	528	2836
157	530	2829
158	532	2815
159	533	2801
160	534	2787
161	540	2793
162	541	2779
163	542	2765
164	544	2757
165	546	2743
166	547	2732
167	548	2718
168	549	2704
169	551	2691
170	552	2677
171	553	2663
172	555	2655
173	561	2665
174	563	2654
175	565	2647
176	568	2645
177	570	2633
178	571	2623
179	574	2615
180	577	2613
181	578	2600
182	579	2588
183	582	2582
184	583	2572
185	584	2559
186	586	2550
187	588	2539
188	589	2529
189	598	2552
190	604	2559
191	605	2548
192	607	2538
193	608	2528
194	609	2517
195	610	2506
196	612	2494
197	615	2492
198	616	2482
199	617	2470
200	619	2461
201	620	2451
202	621	2440
203	623	2433
204	624	2422
205	625	2411
206	626	2401
207	628	2394
208	635	2405
209	636	2395
210	640	2394
211	641	2385
212	643	2376
213	644	2368
214	646	2359
215	648	2353
216	649	2344
217	650	2334
218	652	2326
219	653	2318
220	655	2309
221	656	2300
222	657	2292
223	663	2297
224	664	2288
225	665	2279
226	667	2271
227	668	2262
228	670	2257
229	672	2250
230	674	2245
231	676	2240
232	681	2242
233	684	2239
234	685	2232
235	687	2226
236	690	2224
237	692	2215
238	693	2206
239	695	2201
240	696	2194
241	698	2187
242	699	2179
243	703	2180
244	705	2173
245	707	2168
246	710	2165
247	712	2159
248	713	2151
249	715	2145
250	716	2137
251	717	2129
252	718	2120
253	719	2113
254	720	2106
255	722	2098
256	723	2090
257	724	2083
258	725	2076
259	726	2068
260	728	2061
261	729	2053
262	730	2046
263	731	2039
264	732	2032
265	734	2025
266	735	2019
267	736	2012
268	737	2004
269	738	1997
270	740	1993
271	742	1987
272	743	1980
273	748	1982
274	749	1976
275	754	1979
276	757	1977
277	759	1971
278	761	1966
279	762	1961
280	764	1955
281	765	1948
282	766	1941
283	767	1936
284	769	1929
285	774	1932
286	775	1926
287	777	1922
288	779	1916
289	782	1916
290	785	1912
291	786	1907
292	787	1901
293	789	1895
294	790	1889
295	791	1883
296	792	1876
297	794	1871
298	795	1865
299	796	1859
300	798	1853
301	799	1848
302	800	1842
303	802	1837
304	803	1832
305	805	1827
306	806	1820
307	807	1815
308	809	1809
309	810	1804
310	815	1807
311	822	1812
312	825	1812
313	827	1808
314	829	1803
315	831	1799
316	832	1794
317	833	1788
318	835	1782
319	836	1777
320	838	1772
321	841	1771
322	842	1766
323	851	1776
324	852	1770
325	854	1767
326	856	1762
327	862	1766
328	863	1761
329	865	1756
330	866	1751
331	867	1746
332	869	1741
333	870	1736
334	872	1730
335	873	1726
336	874	1721
337	876	1716
338	877	1711
339	878	1705
340	880	1701
341	881	1696
342	882	1691
343	884	1687
344	886	1682
345	889	1681
346	894	1683
347	897	1681
348	898	1676
349	900	1671
350	901	1667
351	903	1662
352	904	1658
353	905	1653
354	907	1648
355	908	1643
356	909	1638
357	910	1633
358	914	1632
359	914	1626
360	919	1627
361	921	1623
362	922	1619
363	924	1614
364	925	1610
365	927	1606
366	928	1601
367	929	1596
368	931	1592
369	932	1587
370	933	1582
371	934	1578
372	939	1578
373	942	1577
374	943	1572
375	945	1568
376	946	1564
377	947	1559
378	949	1555
379	950	1551
380	952	1547
381	953	1542
382	954	1537
383	955	1533
384	957	1528
385	958	1524
386	964	1527
387	966	1524
388	970	1524
389	972	1520
390	973	1516
391	975	1513
392	978	1511
393	980	1508
394	982	1505
395	984	1500
396	985	1496
397	986	1491
398	987	1487
399	988	1483
400	990	1478
401	991	1474
402	992	1470
403	993	1465
404	994	1461
405	995	1457
406	997	1453
407	1003	1455
408	1004	1452
409	1006	1447
410	1008	1445
411	1012	1445
412	1014	1441
413	1015	1437
414	1016	1432
415	1017	1428
416	1019	1424
417	1020	1420
418	1021	1416
419	1022	1411
420	1023	1407
421	1024	1403
422	1025	1398
423	1026	1394
424	1027	1390
425	1029	1387
426	1031	1383
427	1033	1380
428	1034	1376
429	1035	1372
430	1036	1368
431	1038	1365
432	1039	1361
433	1040	1357
434	1042	1353
435	1043	1349
436	1045	1347
437	1047	1344
438	1048	1340
439	1049	1336
440	1051	1332
441	1052	1328
442	1053	1324
443	1054	1320
444	1056	1317
445	1058	1314
446	1059	1310
447	1060	1306
448	1061	1302
449	1062	1298
450	1063	1294
451	1064	1291
452	1066	1287
453	1067	1283
454	1068	1279
455	1069	1275
456	1070	1271
457	1072	1268
458	1074	1265
459	1076	1264
460	1079	1262
461	1080	1258
462	1082	1255
463	1084	1252
464	1085	1248
465	1086	1245
466	1087	1241
467	1088	1237
468	1090	1234
469	1091	1231
470	1093	1228
471	1094	1224
472	1095	1220
473	1096	1217
474	1098	1214
475	1099	1210
476	1104	1210
477	1105	1207
478	1106	1203
479	1108	1200
480	1109	1196
481	1110	1193
482	1111	1190
483	1113	1186
484	1114	1183
485	1115	1179
486	1116	1176
487	1118	1173
488	1121	1172
489	1123	1169
490	1124	1165
491	1125	1162
492	1127	1159
493	1128	1155
494	1129	1152
495	1130	1149
496	1132	1146
497	1133	1142
498	1135	1139
499	1136	1136
500	1137	1133
501	1138	1129
502	1142	1128
503	1155	1136
504	1158	1135
505	1160	1132
506	1161	1129
507	1162	1126
508	1164	1122
509	1165	1119
510	1166	1116
511	1168	1113
512	1169	1109
513	1170	1106
514	1171	1103
515	1175	1102
516	1179	1101
517	1184	1102
518	1186	1099
519	1187	1096
520	1188	1093
521	1190	1089
522	1191	1086
523	1192	1083
524	1193	1079
525	1194	1076
526	1195	1073
527	1196	1069
528	1204	1072
529	1205	1068
530	1206	1065
531	1208	1062
532	1209	1059
533	1225	1069
534	1233	1071
535	1234	1068
536	1273	1097
537	1276	1096
538	1280	1094
539	1281	1091
540	1283	1088
541	1284	1085
542	1295	1090
543	1308	1096
544	1318	1100
545	1320	1098
546	1321	1094
547	1327	1094
548	1328	1091
549	1329	1088
550	1331	1084
551	1338	1086
552	1343	1085
553	1362	1097
554	1364	1094
555	1366	1091
556	1367	1087
557	1368	1084
558	1386	1093
559	1388	1090
560	1389	1087
561	1397	1089
562	1404	1090
563	1406	1087
564	1417	1091
565	1434	1099
566	1435	1096
567	1438	1093
568	1448	1097
569	1449	1093
570	1451	1090
571	1459	1092
572	1461	1088
573	1467	1088
574	1479	1093
575	1480	1090
576	1482	1086
577	1483	1082
578	1484	1079
579	1485	1075
580	1491	1075
581	1498	1075
582	1510	1080
583	1513	1078
584	1516	1075
585	1522	1075
586	1524	1072
587	1525	1068
588	1527	1066
589	1528	1062
590	1531	1059
591	1540	1061
592	1544	1059
593	1550	1059
594	1551	1056
595	1552	1052
596	1554	1049
597	1556	1046
598	1557	1042
599	1559	1039
600	1562	1037
601	1563	1033
602	1568	1032
603	1571	1030
604	1583	1033
605	1583	1029
606	1584	1026
607	1586	1022
608	1591	1021
609	1592	1018
610	1594	1015
611	1596	1011
612	1598	1008
613	1600	1005
614	1603	1003
615	1604	1000
616	1615	1002
617	1623	1003
618	1624	1000
619	1631	1000
620	1632	996
621	1635	993
622	1636	990
623	1640	988
624	1644	986
625	1653	988
626	1655	985
627	1659	983
628	1661	979
629	1662	976
630	1663	972
631	1665	969
632	1666	966
633	1668	963
634	1670	959
635	1673	957
636	1677	955
637	1678	952
638	1679	948
639	1680	945
640	1681	941
641	1685	939
642	1686	936
643	1687	932
644	1688	929
645	1689	926
646	1691	923
647	1695	920
648	1696	917
649	1698	914
650	1701	912
651	1702	908
652	1705	906
653	1706	902
654	1707	899
655	1709	896
656	1711	893
657	1712	890
658	1713	886
659	1718	885
660	1720	882
661	1726	881
662	1729	878
663	1730	875
664	1731	872
665	1732	868
666	1733	865
667	1735	862
668	1737	859
669	1738	856
670	1739	852
671	1741	850
672	1745	848
673	1750	846
674	1755	845
675	1759	843
676	1760	840
677	1762	837
678	1763	833
679	1765	830
680	1766	827
681	1767	824
682	1769	821
683	1769	817
684	1770	814
685	1772	811
686	1773	807
687	1774	804
688	1775	801
689	1776	798
690	1777	795
691	1778	791
692	1779	788
693	1781	785
694	1785	783
695	1787	780
696	1789	777
697	1791	774
698	1795	773
699	1802	772
700	1804	769
701	1806	766
702	1807	763
703	1809	760
704	1810	757
705	1812	754
706	1813	751
707	1814	748
708	1815	745
709	1816	742
710	1818	739
711	1819	735
712	1820	732
713	1821	729
714	1823	726
715	1824	723
716	1825	720
717	1827	717
718	1830	715
719	1832	712
